blockid,miningpool
400374,F2Pool
400375,AntPool
400376,KnCMiner
400377,BTCC
400378,BTCC
400379,AntPool
400380,F2Pool
400381,F2Pool
400382,BitClub
400383,Eligius
400384,F2Pool
400385,BitClub
400386,BTCC
400387,BTCC
400388,SlushPool
400389,BitFury
400390,F2Pool
400391,F2Pool
400392,F2Pool
400393,AntPool
400394,F2Pool
400395,AntPool
400396,BW.COM
400397,F2Pool
400398,AntPool
400399,BTCC
400400,KanoPool
400401,AntPool
400402,BitFury
400403,F2Pool
400404,F2Pool
400405,BTCC
400406,AntPool
400407,AntPool
400408,AntPool
400409,F2Pool
400410,BitClub
400411,BTCC
400412,AntPool
400413,SlushPool
400414,BitFury
400415,BTCC
400416,BitFury
400417,BTCC
400418,AntPool
400419,BTCC
400420,BTCC
400421,F2Pool
400422,F2Pool
400423,F2Pool
400424,AntPool
400425,BitFury
400426,BitClub
400427,BitFury
400428,AntPool
400429,AntPool
400430,BitFury
400431,KnCMiner
400432,AntPool
400433,AntPool
400434,BW.COM
400435,BitClub
400436,SlushPool
400437,AntPool
400438,BTCC
400439,AntPool
400440,AntPool
400441,SlushPool
400442,AntPool
400443,KanoPool
400444,F2Pool
400445,KanoPool
400446,AntPool
400447,AntPool
400448,Eligius
400449,BTCC
400450,BTCC
400451,F2Pool
400452,BTCC
400453,F2Pool
400454,BitFury
400455,BTCC
400456,BitMinter
400457,BitClub
400458,AntPool
400459,AntPool
400460,BTCC
400461,AntPool
400462,BTCC
400463,AntPool
400464,AntPool
400465,failed
400466,BTCC
400467,AntPool
400468,BTCC
400469,F2Pool
400470,F2Pool
400471,BitClub
400472,F2Pool
400473,BW.COM
400474,BitMinter
400475,F2Pool
400476,BTCC
400477,AntPool
400478,BW.COM
400479,F2Pool
400480,BitFury
400481,AntPool
400482,BTCC
400483,F2Pool
400484,F2Pool
400485,F2Pool
400486,AntPool
400487,SlushPool
400488,F2Pool
400489,AntPool
400490,F2Pool
400491,BitClub
400492,KanoPool
400493,F2Pool
400494,BTCC
400495,BitFury
400496,AntPool
400497,F2Pool
400498,BitClub
400499,BitClub
400500,F2Pool
400501,F2Pool
400502,F2Pool
400503,BitClub
400504,BitFury
400505,BitFury
400506,BTCC
400507,F2Pool
400508,BTCC
400509,AntPool
400510,BitClub
400511,BitFury
400512,AntPool
400513,F2Pool
400514,AntPool
400515,BTCC
400516,KanoPool
400517,KnCMiner
400518,AntPool
400519,BTCC
400520,F2Pool
400521,F2Pool
400522,KanoPool
400523,F2Pool
400524,BTCC
400525,failed
400526,F2Pool
400527,BTCC
400528,F2Pool
400529,BTCC
400530,AntPool
400531,AntPool
400532,SlushPool
400533,F2Pool
400534,F2Pool
400535,F2Pool
400536,KanoPool
400537,BitFury
400538,AntPool
400539,BitFury
400540,AntPool
400541,BitFury
400542,AntPool
400543,BitFury
400544,21 Inc.
400545,F2Pool
400546,F2Pool
400547,AntPool
400548,F2Pool
400549,F2Pool
400550,BTCC
400551,AntPool
400552,F2Pool
400553,AntPool
400554,BitFury
400555,SlushPool
400556,F2Pool
400557,F2Pool
400558,F2Pool
400559,BitFury
400560,BitFury
400561,AntPool
400562,F2Pool
400563,BTCC
400564,BitClub
400565,F2Pool
400566,F2Pool
400567,KnCMiner
400568,BW.COM
400569,AntPool
400570,AntPool
400571,BTCC
400572,F2Pool
400573,BTCC
400574,BitClub
400575,F2Pool
400576,F2Pool
400577,BitFury
400578,F2Pool
400579,BitFury
400580,failed
400581,AntPool
400582,BitFury
400583,BTCC
400584,BW.COM
400585,BW.COM
400586,F2Pool
400587,KnCMiner
400588,BitClub
400589,F2Pool
400590,AntPool
400591,BTCC
400592,BTCC
400593,BitFury
400594,BitClub
400595,AntPool
400596,AntPool
400597,BitFury
400598,BW.COM
400599,SlushPool
400600,F2Pool
400601,BitFury
400602,BTCC
400603,F2Pool
400604,SlushPool
400605,Telco 214
400606,BTCC
400607,BTCC
400608,F2Pool
400609,SlushPool
400610,BW.COM
400611,BitFury
400612,F2Pool
400613,SlushPool
400614,BW.COM
400615,BTCC
400616,F2Pool
400617,F2Pool
400618,BTCC
400619,BitClub
400620,BitFury
400621,BTCC
400622,BTCC
400623,GHash.IO
400624,BTCC
400625,failed
400626,BitFury
400627,BTCC
400628,F2Pool
400629,BW.COM
400630,F2Pool
400631,BitFury
400632,BW.COM
400633,BTCC
400634,BitFury
400635,F2Pool
400636,AntPool
400637,AntPool
400638,AntPool
400639,BTCC
400640,BitFury
400641,BTCC
400642,AntPool
400643,AntPool
400644,AntPool
400645,BitFury
400646,F2Pool
400647,BitFury
400648,AntPool
400649,F2Pool
400650,F2Pool
400651,BTCC
400652,SlushPool
400653,BTCC
400654,BW.COM
400655,BTCC
400656,F2Pool
400657,AntPool
400658,AntPool
400659,F2Pool
400660,F2Pool
400661,F2Pool
400662,KnCMiner
400663,KanoPool
400664,SlushPool
400665,F2Pool
400666,BTCC
400667,F2Pool
400668,BW.COM
400669,F2Pool
400670,BitFury
400671,BitClub
400672,F2Pool
400673,F2Pool
400674,F2Pool
400675,BitFury
400676,KnCMiner
400677,AntPool
400678,GHash.IO
400679,BTCC
400680,BTCC
400681,BTCC
400682,AntPool
400683,F2Pool
400684,BTCC
400685,BitFury
400686,BitFury
400687,F2Pool
400688,BitClub
400689,KnCMiner
400690,BTCC
400691,BW.COM
400692,BTCC
400693,AntPool
400694,F2Pool
400695,21 Inc.
400696,F2Pool
400697,F2Pool
400698,21 Inc.
400699,F2Pool
400700,BTCC
400701,F2Pool
400702,AntPool
400703,BTCC
400704,F2Pool
400705,F2Pool
400706,KanoPool
400707,BTCC
400708,BTCC
400709,BTCC
400710,BW.COM
400711,BitClub
400712,BTCC
400713,AntPool
400714,AntPool
400715,F2Pool
400716,SlushPool
400717,AntPool
400718,AntPool
400719,F2Pool
400720,AntPool
400721,F2Pool
400722,BTCC
400723,F2Pool
400724,F2Pool
400725,AntPool
400726,F2Pool
400727,KnCMiner
400728,BTCC
400729,BitFury
400730,AntPool
400731,BitClub
400732,BitFury
400733,F2Pool
400734,BTCC
400735,AntPool
