Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others,,ALL,ANTPOOL,F2POOL,VIABTC,BTCCOM
2016-03-21 00:00:00 UTC,,3.55E+17,,,1.98E+17,5.78E+16,9.08E+16,,8.26E+15,2.31E+17,4.13E+16,,,,1.65E+17,,1.15E+18,3.55E+17,2.31E+17,0.00E+00,0.00E+00
2016-03-22 00:00:00 UTC,,3.27E+17,,,1.72E+17,7.35E+16,1.55E+17,,,3.10E+17,2.45E+16,,,,1.47E+17,,1.21E+18,3.27E+17,3.10E+17,0.00E+00,0.00E+00
2016-03-23 00:00:00 UTC,,3.13E+17,,,1.57E+17,9.89E+16,9.06E+16,8.24E+15,,3.13E+17,8.24E+16,,,,1.65E+17,,1.23E+18,3.13E+17,3.13E+17,0.00E+00,0.00E+00
2016-03-24 00:00:00 UTC,,3.38E+17,,,2.06E+17,7.41E+16,1.48E+17,,,2.47E+17,1.65E+16,,,8.23E+15,1.73E+17,,1.21E+18,3.38E+17,2.47E+17,0.00E+00,0.00E+00
2016-03-25 00:00:00 UTC,,2.55E+17,,,1.56E+17,5.75E+16,1.73E+17,,8.22E+15,3.37E+17,4.93E+16,,,8.22E+15,1.56E+17,,1.20E+18,2.55E+17,3.37E+17,0.00E+00,0.00E+00
2016-03-26 00:00:00 UTC,,3.62E+17,,,1.85E+17,3.36E+16,2.02E+17,8.41E+15,8.41E+15,2.52E+17,3.36E+16,,,1.68E+16,1.85E+17,,1.29E+18,3.62E+17,2.52E+17,0.00E+00,0.00E+00
2016-03-27 00:00:00 UTC,,3.18E+17,,,1.63E+17,6.52E+16,9.78E+16,,,3.26E+17,4.07E+16,,,,1.39E+17,,1.15E+18,3.18E+17,3.26E+17,0.00E+00,0.00E+00
2016-03-28 00:00:00 UTC,,3.98E+17,,,2.03E+17,7.31E+16,1.22E+17,,,2.92E+17,6.50E+16,,,8.12E+15,2.19E+17,,1.38E+18,3.98E+17,2.92E+17,0.00E+00,0.00E+00
2016-03-29 00:00:00 UTC,,3.04E+17,,,1.56E+17,9.87E+16,1.32E+17,8.22E+15,2.47E+16,3.21E+17,4.11E+16,,,3.29E+16,1.73E+17,,1.29E+18,3.04E+17,3.21E+17,0.00E+00,0.00E+00
2016-03-30 00:00:00 UTC,,4.06E+17,,,1.99E+17,4.14E+16,1.66E+17,,,2.24E+17,4.97E+16,,,1.66E+16,1.16E+17,,1.22E+18,4.06E+17,2.24E+17,0.00E+00,0.00E+00
