2/25/2016,1319649
2/26/2016,1547381
2/27/2016,1609522
2/28/2016,1431216
2/29/2016,1632881
3/1/2016,1495225
3/2/2016,1405737
3/3/2016,1720820
3/4/2016,1431632
3/5/2016,1604281
3/6/2016,1619238
3/7/2016,1437552
3/8/2016,1614393
3/9/2016,1399239
3/10/2016,1725519
3/11/2016,1692288
3/12/2016,1733742
3/13/2016,1362702
3/14/2016,1580232
3/15/2016,1593585
3/16/2016,1593585
3/17/2016,1787925
3/18/2016,1432167
3/19/2016,1427774
3/20/2016,1384279
3/21/2016,1563801
3/22/2016,1308642
3/23/2016,1565039
3/24/2016,1593071
3/25/2016,1588000
3/26/2016,1523338
3/27/2016,1541868
3/28/2016,1646594
3/29/2016,1519272
3/30/2016,1780614
3/31/2016,1660946
4/1/2016,1321283
4/2/2016,1444804
4/3/2016,1591174
4/4/2016,1554802
4/5/2016,1735876
4/6/2016,1591760
4/7/2016,1650252
4/8/2016,1558584
4/9/2016,1506410
4/10/2016,1707680
4/11/2016,1848004
4/12/2016,1607456
4/13/2016,1639677
4/14/2016,1685702
4/15/2016,1767503
4/16/2016,1574760
4/17/2016,1550672
4/18/2016,1642389
4/19/2016,1460870
4/20/2016,1629131
4/21/2016,1843768
4/22/2016,1721837
4/23/2016,1618011
4/24/2016,1639605
4/25/2016,1531304
4/26/2016,1492840
4/27/2016,1924687
4/28/2016,1463201
4/29/2016,1552497
4/30/2016,1824603
5/1/2016,1650450
5/2/2016,1766704
5/3/2016,1762341
5/4/2016,1722608
5/5/2016,1900230
5/6/2016,1769133
5/7/2016,1887205
5/8/2016,1738668
5/9/2016,1881265
5/10/2016,2015491
5/11/2016,1799146
5/12/2016,1525359
5/13/2016,1601341
5/14/2016,1757652
5/15/2016,1662213
5/16/2016,1609202
5/17/2016,1630979
5/18/2016,1622905
5/19/2016,1770178
5/20/2016,1361087
5/21/2016,1666419
5/22/2016,1589937
5/23/2016,2033725
5/24/2016,2025077
5/25/2015,851875
5/26/2015,800308
5/27/2015,855635
5/28/2015,784168
5/29/2016,1764425
5/30/2016,1906764
5/31/2016,1934163
6/1/2016,1714201
6/2/2016,1972576
6/3/2016,1894574
6/4/2016,2047468
6/5/2016,1733523
6/6/2016,2479401
6/7/2016,2514601
6/8/2016,2169535
6/9/2016,2112419
6/10/2016,2410789
6/11/2016,2116659
6/12/2016,2364669
6/13/2016,2467037
6/14/2016,2830944
6/15/2016,2277298
6/16/2016,2681772
6/17/2016,2863857
6/18/2016,2779038
6/19/2016,3016480
6/20/2016,3392968
6/21/2016,3057429
6/22/2016,2506374
6/23/2016,1909240
6/24/2016,2193394
6/25/2016,2149987
6/26/2016,2760623
6/27/2016,2297206
6/28/2016,2386531
6/29/2016,2418860
6/30/2016,2340735
7/1/2016,2538867
7/2/2016,2649743
7/3/2016,2625265
7/4/2016,2541313
7/5/2016,2555600
7/6/2016,2420500
7/7/2016,2367306
7/8/2016,2195265
7/9/2016,2401373
7/10/2016,2036094
7/11/2016,1267110
7/12/2016,1162507
7/13/2016,1213263
7/14/2016,1070322
7/15/2016,1175290
7/16/2016,1127082
7/17/2016,1302095
7/18/2016,1266649
7/19/2016,1260663
7/20/2016,1084448
7/21/2016,1253688
7/22/2016,1108239
7/23/2016,1049711
7/24/2016,1073869
7/25/2016,1044635
7/26/2016,1083869
7/27/2016,1058492
7/28/2016,1056015
7/29/2016,1126800
7/30/2016,1216862
7/31/2016,979639
8/1/2016,1205755
8/2/2016,1158954
8/3/2016,1174459
8/4/2016,1187784
8/5/2016,1102138
8/6/2016,1223918
8/7/2016,1232270
8/8/2016,1101643
8/9/2016,1137218
8/10/2016,949947
8/11/2016,1123924
8/12/2016,1115317
8/13/2016,1093307
8/14/2016,1197996
8/15/2016,1167746
8/16/2016,1035485
8/17/2016,984960
8/18/2016,883763
8/19/2016,1105742
8/20/2016,1108627
8/21/2016,1134218
8/22/2016,1182382
8/23/2016,1168789
8/24/2016,1074378
8/25/2016,1110793
8/26/2016,940023
8/27/2016,953717
8/28/2016,1024501
8/29/2016,1091820
8/30/2016,1070546
8/31/2016,1194622
9/1/2016,970161
9/2/2016,1008150
9/3/2016,1109403
9/4/2016,959616
9/5/2016,1376331
9/6/2016,1072260
9/7/2016,1044943
9/8/2016,1177623
9/9/2016,1134450
9/10/2016,1120494
9/11/2016,1217738
9/12/2016,1251013
9/13/2016,1245625
9/14/2016,1275112
9/15/2016,1197719
9/16/2016,1179082
9/17/2016,1067815
9/18/2016,1239350
9/19/2016,1112984
9/20/2016,1013870
9/21/2016,1166565
9/22/2016,1241469
9/23/2016,1051860
9/24/2016,1027531
9/25/2016,1258909
9/26/2016,1395674
9/27/2016,1165494
9/28/2016,1276512
9/29/2016,1119367
9/30/2016,1083864
10/1/2016,1084454
10/2/2016,1205132
10/3/2016,1074561
10/4/2016,1164434
10/5/2016,1206350
10/6/2016,1281295
10/7/2016,1237024
10/8/2016,1116458
10/9/2016,1311356
10/10/2016,1232591
10/11/2016,969460
10/12/2016,1114413
10/13/2016,1156671
10/14/2016,1020493
10/15/2016,1090902
10/16/2016,1135930
10/17/2016,1047567
10/18/2016,1001040
